TargetID	ProbeID	Excluded/Imputed	200729890044_A.AVG_Signal	200729890044_A.Avg_NBEADS	200729890044_A.BEAD_STDERR	200729890044_A.Excluded	200729890044_A.Imputed	200729890044_B.AVG_Signal	200729890044_B.Avg_NBEADS	200729890044_B.BEAD_STDERR	200729890044_B.Excluded	200729890044_B.Imputed	200729890044_C.AVG_Signal	200729890044_C.Avg_NBEADS	200729890044_C.BEAD_STDERR	200729890044_C.Excluded	200729890044_C.Imputed	200729890044_D.AVG_Signal	200729890044_D.Avg_NBEADS	200729890044_D.BEAD_STDERR	200729890044_D.Excluded	200729890044_D.Imputed	200729890044_E.AVG_Signal	200729890044_E.Avg_NBEADS	200729890044_E.BEAD_STDERR	200729890044_E.Excluded	200729890044_E.Imputed	200729890044_F.AVG_Signal	200729890044_F.Avg_NBEADS	200729890044_F.BEAD_STDERR	200729890044_F.Excluded	200729890044_F.Imputed	200729890044_G.AVG_Signal	200729890044_G.Avg_NBEADS	200729890044_G.BEAD_STDERR	200729890044_G.Excluded	200729890044_G.Imputed	200729890044_H.AVG_Signal	200729890044_H.Avg_NBEADS	200729890044_H.BEAD_STDERR	200729890044_H.Excluded	200729890044_H.Imputed	200729890044_I.AVG_Signal	200729890044_I.Avg_NBEADS	200729890044_I.BEAD_STDERR	200729890044_I.Excluded	200729890044_I.Imputed	200729890044_J.AVG_Signal	200729890044_J.Avg_NBEADS	200729890044_J.BEAD_STDERR	200729890044_J.Excluded	200729890044_J.Imputed	200729890044_K.AVG_Signal	200729890044_K.Avg_NBEADS	200729890044_K.BEAD_STDERR	200729890044_K.Excluded	200729890044_K.Imputed	200729890044_L.AVG_Signal	200729890044_L.Avg_NBEADS	200729890044_L.BEAD_STDERR	200729890044_L.Excluded	200729890044_L.Imputed	200796240064_A.AVG_Signal	200796240064_A.Avg_NBEADS	200796240064_A.BEAD_STDERR	200796240064_A.Excluded	200796240064_A.Imputed	200796240064_B.AVG_Signal	200796240064_B.Avg_NBEADS	200796240064_B.BEAD_STDERR	200796240064_B.Excluded	200796240064_B.Imputed	200796240064_C.AVG_Signal	200796240064_C.Avg_NBEADS	200796240064_C.BEAD_STDERR	200796240064_C.Excluded	200796240064_C.Imputed	200796240064_D.AVG_Signal	200796240064_D.Avg_NBEADS	200796240064_D.BEAD_STDERR	200796240064_D.Excluded	200796240064_D.Imputed	200796240064_E.AVG_Signal	200796240064_E.Avg_NBEADS	200796240064_E.BEAD_STDERR	200796240064_E.Excluded	200796240064_E.Imputed	200796240064_F.AVG_Signal	200796240064_F.Avg_NBEADS	200796240064_F.BEAD_STDERR	200796240064_F.Excluded	200796240064_F.Imputed	200796240064_G.AVG_Signal	200796240064_G.Avg_NBEADS	200796240064_G.BEAD_STDERR	200796240064_G.Excluded	200796240064_G.Imputed	200796240064_H.AVG_Signal	200796240064_H.Avg_NBEADS	200796240064_H.BEAD_STDERR	200796240064_H.Excluded	200796240064_H.Imputed	200796240064_I.AVG_Signal	200796240064_I.Avg_NBEADS	200796240064_I.BEAD_STDERR	200796240064_I.Excluded	200796240064_I.Imputed	200796240064_J.AVG_Signal	200796240064_J.Avg_NBEADS	200796240064_J.BEAD_STDERR	200796240064_J.Excluded	200796240064_J.Imputed	200796240064_K.AVG_Signal	200796240064_K.Avg_NBEADS	200796240064_K.BEAD_STDERR	200796240064_K.Excluded	200796240064_K.Imputed	200796240064_L.AVG_Signal	200796240064_L.Avg_NBEADS	200796240064_L.BEAD_STDERR	200796240064_L.Excluded	200796240064_L.Imputed	SEARCH_KEY	ILMN_GENE	SYMBOL	PROBE_ID	CHROMOSOME	DEFINITION	SYNONYMS
LOC643311	6760184	excluded	92,55705	10	2,728626	0	0	99,0848	6	5,556164	0	0	111,3689	6	7,650453	0	0	107,2553	8	7,612612	0	0	166,2469	6	27,26933	0	0	126,918	5	21,9118	0	0	110,1028	6	6,564364	0	0	120,5993	7	10,20225	0	0	119,5467	14	4,658081	0	0	107,2903	5	2,524838	0	0	114,5283	5	6,209588	0	0	100,9532	5	13,37635	0	0	113,1681	8	4,688259	0	0	105,0995	5	0,8645582	0	0	130,1802	8	12,05615	0	0	137,1454	5	8,124736	0	0	108,3508	6	2,976602	0	0	126,1261	6	12,29742	0	0	131,5603	6	10,0428	0	0	112,1271	10	9,076685	0	0	115,0676	10	8,597066	0	0	150,126	1	0,00	1	0	166,9017	9	23,44965	0	0	128,5549	8	14,4375	0	0	XM_926657.1	LOC643311	LOC643311	ILMN_1800488	X	PREDICTED: Homo sapiens hypothetical protein LOC643311 (LOC643311), mRNA.	
LOC653321	7570470	excluded	93,02737	6	5,330655	0	0	112,4674	9	8,486061	0	0	110,288	9	4,572288	0	0	96,22536	10	6,380526	0	0	102,0737	5	4,377298	0	0	116,5249	5	8,315436	0	0	108,0862	7	3,339429	0	0	105,3503	11	9,538316	0	0	117,6166	9	7,996771	0	0	89,24256	5	1,251405	0	0	110,7773	8	7,881154	0	0	111,3064	8	6,182605	0	0	97,65256	4	4,064863	0	0	160,3146	4	24,58664	0	0	98,13157	3	11,06809	0	0	106,5899	3	5,072713	0	0	120,4373	6	10,23175	0	0	159,4747	5	55,69109	0	0	111,5475	2	10,91341	1	0	120,7881	8	7,222189	0	0	0,00	0,00	Non Numérique	1	0	110,1817	6	11,55307	0	0	110,0711	7	11,48788	0	0	107,8965	4	8,155492	0	0	XM_932385.1	LOC653321	LOC653321	ILMN_1746972	7	PREDICTED: Homo sapiens similar to Neutrophil cytosol factor 1 (NCF-1) (Neutrophil NADPH oxidase factor 1) (47 kDa neutrophil oxidase factor) (p47-phox) (NCF-47K) (47 kDa autosomal chronic granulomatous disease protein) (NOXO2), transcript variant 3 (LOC653321), mRNA.	
LOC728253	4210152	excluded	127,1249	8	12,90496	0	0	120,5621	6	3,549024	0	0	136,9083	4	21,36572	0	0	114,2797	5	5,138321	0	0	122,1909	5	7,214325	0	0	121,0441	5	16,49245	0	0	188,4567	5	35,44269	0	0	167,677	2	33,59368	1	0	455,5641	3	332,5233	0	0	124,7557	9	11,72906	0	0	205,4693	2	31,61506	1	0	156,8863	3	39,485	0	0	121,1715	5	17,48249	0	0	109,2588	7	7,991812	0	0	225,0802	4	77,40276	0	0	246,4573	3	100,0849	0	0	122,6407	4	10,01911	0	0	135,3881	7	1,147591	0	0	186,5542	3	30,47987	0	0	121,6475	5	12,44529	0	0	134,179	7	6,504692	0	0	355,7137	3	168,1551	0	0	176,1713	2	51,27299	1	0	190,8967	2	21,14395	1	0	XM_001128502.2	LOC728253	LOC728253	ILMN_3246658	22	PREDICTED: Homo sapiens hypothetical LOC728253 (LOC728253), mRNA.	
LOC731835	1820711	excluded	147,4672	10	17,6477	0	0	119,7927	4	4,124645	0	0	138,3	5	4,402414	0	0	139,171	5	13,537	0	0	141,6265	5	11,21907	0	0	0,00	0,00	Non Numérique	1	0	130,4433	4	12,68845	0	0	108,8441	6	6,759253	0	0	141,9926	6	17,25784	0	0	130,0804	5	9,124615	0	0	119,6597	9	9,203731	0	0	113,7543	6	4,637848	0	0	117,3196	16	6,343822	0	0	121,9893	6	8,004068	0	0	113,0945	6	0,9993488	0	0	127,6452	6	8,013644	0	0	121,3123	11	7,760907	0	0	138,6298	6	8,241125	0	0	120,5285	7	6,980947	0	0	106,9762	8	5,466479	0	0	221,0675	4	74,18108	0	0	110,5931	5	5,200774	0	0	126,2678	9	7,408396	0	0	127,2538	9	8,532108	0	0	Hs.569307	LOC731835	LOC731835	ILMN_1847363		PREDICTED: Homo sapiens hypothetical protein LOC731835 (LOC731835), mRNA.	
MIR1282	2490543	excluded	119,7309	6	9,047502	0	0	134,5499	5	18,19079	0	0	124,8661	10	8,514622	0	0	116,3887	4	12,00923	0	0	114,9821	3	1,540258	0	0	109,1492	4	8,602912	0	0	131,244	5	14,13657	0	0	101,7587	10	4,623986	0	0	118,2553	5	2,867245	0	0	100,4629	6	5,825803	0	0	87,77052	2	5,872132	1	0	112,4026	2	25,16475	1	0	128,1997	4	17,24341	0	0	125,5231	8	13,70127	0	0	206,2484	3	102,0279	0	0	141,8108	3	15,41456	0	0	156,6582	5	38,84075	0	0	189,4295	3	27,26261	0	0	121,6607	4	21,46074	0	0	92,66797	5	7,249771	0	0	181,0112	1	0,00	1	0	121,7117	4	16,65458	0	0	134,4589	4	25,65466	0	0	104,5084	2	9,069124	1	0	NR_031695.1	MIR1282	MIR1282	ILMN_3308225		Homo sapiens microRNA 1282 (MIR1282), microRNA.	
MIR218-2	4900673	excluded	104,5133	9	2,737345	0	0	99,3664	14	4,323212	0	0	108,9009	8	7,68887	0	0	104,6613	13	5,409669	0	0	138,3378	11	9,439581	0	0	124,534	5	10,04747	0	0	113,4779	8	6,614716	0	0	120,0709	11	9,218358	0	0	103,5741	12	6,365384	0	0	119,2648	7	15,06561	0	0	99,78222	4	7,924818	0	0	94,29488	14	3,03667	0	0	95,04537	4	16,22189	0	0	111,372	8	9,139581	0	0	133,236	2	2,76664	1	0	141,9025	5	11,95362	0	0	113,2476	1	0,00	1	0	115,4596	4	5,115082	0	0	121,7088	4	3,82669	0	0	108,4475	9	5,987309	0	0	134,1089	11	8,12145	0	0	146,4596	4	12,37211	0	0	100,3417	13	3,980804	0	0	114,0566	9	7,01297	0	0	NR_029632.1	MIR218-2	MIR218-2	ILMN_3310376		Homo sapiens microRNA 218-2 (MIR218-2), microRNA.	
MIR632	4900452	excluded	116,6163	14	10,28721	0	0	106,9457	10	6,895349	0	0	132,4293	9	14,86819	0	0	105,7344	11	6,172577	0	0	102,8914	11	4,771073	0	0	108,4455	9	9,552209	0	0	119,6909	12	6,32768	0	0	99,83585	12	6,677213	0	0	101,7218	18	5,11623	0	0	100,7262	15	4,25566	0	0	110,3348	17	3,452848	0	0	95,41828	14	4,221447	0	0	95,52322	5	2,470964	0	0	112,4571	2	16,89273	1	0	94,77911	5	8,549385	0	0	147,3144	8	31,55254	0	0	126,0088	3	12,46069	0	0	127,4859	10	8,740729	0	0	157,451	2	23,24475	1	0	121,7296	6	13,6231	0	0	125,7826	7	6,724185	0	0	107,218	4	11,40758	0	0	99,71973	5	12,03481	0	0	116,0426	4	8,137871	0	0	NR_030362.1	MIR632	MIR632	ILMN_3309554		Homo sapiens microRNA 632 (MIR632), microRNA.	
MUC4	4900014	excluded	113,3833	8	8,215601	0	0	111,9588	14	6,698708	0	0	111,6559	14	5,655944	0	0	110,7734	12	5,125011	0	0	103,9315	11	7,337825	0	0	123,9776	6	17,79254	0	0	116,8577	14	7,917131	0	0	126,7322	14	7,532912	0	0	110,008	13	6,214998	0	0	114,44	11	6,817758	0	0	112,7248	21	6,003478	0	0	112,8603	12	6,506061	0	0	113,9531	10	3,435568	0	0	108,689	6	11,28755	0	0	98,08919	5	7,4197	0	0	131,6568	3	15,45849	0	0	108,5726	7	6,980388	0	0	0,00	0,00	Non Numérique	1	0	126,3516	4	3,334977	0	0	125,1446	8	9,062093	0	0	111,5702	6	6,85575	0	0	104,2601	5	4,066128	0	0	116,2299	9	9,453404	0	0	112,341	9	9,758721	0	0	NM_018406.3	MUC4	MUC4	ILMN_2246555	3	Homo sapiens mucin 4, cell surface associated (MUC4), transcript variant 1, mRNA.	HSA276359
PP14571	770369	excluded	117,7023	7	10,43139	0	0	97,93378	2	3,420269	1	0	147,2428	8	12,56273	0	0	106,4575	9	4,477931	0	0	121,8586	6	3,724077	0	0	131,0973	7	12,02306	0	0	128,4591	12	8,957695	0	0	132,954	13	10,02334	0	0	123,5154	7	9,190688	0	0	127,3025	13	9,056519	0	0	135,2622	11	11,29037	0	0	146,8002	14	8,621425	0	0	112,8565	11	6,785178	0	0	121,8491	7	10,60177	0	0	152,1937	16	9,020781	0	0	124,4639	5	10,70205	0	0	109,0963	9	6,696264	0	0	118,5249	7	7,288856	0	0	146,3187	11	11,94158	0	0	168,0579	10	20,40429	0	0	131,7385	8	6,182492	0	0	126,5561	12	6,950362	0	0	143,9064	15	9,781999	0	0	160,066	9	11,37438	0	0	NR_024014.1	PP14571	PP14571	ILMN_3237564	2	Homo sapiens similar to hCG1777210 (PP14571), non-coding RNA.	
SNX3	7610201	excluded	121,6401	9	5,208958	0	0	136,9172	11	10,34365	0	0	124,3902	9	12,42499	0	0	121,5256	22	5,294391	0	0	127,2777	12	6,535505	0	0	117,6992	12	5,675948	0	0	142,2966	9	8,893723	0	0	104,5612	8	2,66608	0	0	166,2966	11	20,42947	0	0	103,1667	10	6,380818	0	0	117,4851	12	5,799411	0	0	105,6879	10	5,579531	0	0	116,1606	12	6,070305	0	0	123,0333	10	7,40711	0	0	116,9163	1	0,00	1	0	127,9469	8	11,55647	0	0	144,4061	5	28,20806	0	0	111,5396	4	9,278934	0	0	120,4657	6	4,631639	0	0	113,5659	4	11,93436	0	0	203,9184	3	51,61611	0	0	105,2897	5	2,568894	0	0	120,3762	5	11,94445	0	0	116,2345	8	2,53615	0	0	NM_152828.2	SNX3	SNX3	ILMN_1795557	6	Homo sapiens sorting nexin 3 (SNX3), transcript variant 3, mRNA.	SDP3; MGC17570; SNX3A
TLL2	6180075	excluded	85,71312	17	4,08516	0	0	108,635	13	7,841204	0	0	101,7906	16	9,243808	0	0	90,45252	29	3,941593	0	0	112,3641	19	7,271435	0	0	88,65407	13	4,45145	0	0	102,3145	15	6,056996	0	0	103,2109	15	4,392584	0	0	98,29908	15	4,203271	0	0	101,5513	16	5,718938	0	0	104,5156	32	4,940064	0	0	90,62452	16	3,853857	0	0	95,58318	6	2,22029	0	0	110,3243	8	6,141809	0	0	100,69	11	4,993618	0	0	116,1285	1	0,00	1	0	97,45999	4	6,082682	0	0	101,0971	9	5,593498	0	0	103,5625	10	5,793106	0	0	106,6665	10	9,426728	0	0	108,5085	7	5,522967	0	0	94,768	9	5,045098	0	0	91,89821	14	4,692589	0	0	104,6417	14	5,750186	0	0	NM_012465.2	TLL2	TLL2	ILMN_2206307	10	Homo sapiens tolloid-like 2 (TLL2), mRNA.	MGC133312; KIAA0932; MGC133313
